callsign,affiliation,date,weekday,ideology,national_politics,local_politics,sinclair2017,post,month
KTVM,NBC,2017-11-29,Wed,0.11832715650160375,0.22598115397590363,0.12660168192771085,1,1,Nov
KTXS,ABC,2017-11-29,Wed,0.17289954199732044,0.1722239276811594,0.06385985057971014,1,1,Nov
KWYB,ABC,2017-11-29,Wed,NA,0.18774341958333332,0.18702751374999999,0,1,Nov
KXVA,FOX,2017-11-29,Wed,NA,0.026293030999999998,0.096692819,0,1,Nov
WCTI,ABC,2017-11-29,Wed,0.1914304196264283,0.12330709602150536,0.06721817623655914,1,1,Nov
WCYB,NBC,2017-11-29,Wed,0.09183390324323903,0.18210454127659575,0.1264115304255319,1,1,Nov
WEMT,FOX,2017-11-29,Wed,0.07490055164291436,0.26430343869565215,0.07125929695652174,1,1,Nov
WITN,NBC,2017-11-29,Wed,0.1096234739582896,0.15345314353658535,0.10065067146341464,0,1,Nov
WJHL,CBS,2017-11-29,Wed,0.10499055050143272,0.10665544394230769,0.20901364730769229,0,1,Nov
WNCT,CBS,2017-11-29,Wed,0.1383991801526453,0.17045530076923077,0.12049275296703296,0,1,Nov
WYDO,FOX,2017-11-29,Wed,0.1324705707679342,0.1782617704347826,0.06364688239130435,1,1,Nov
KAEF,ABC,2017-11-30,Thu,0.07381531896542835,0.17679265463768118,0.18004536797101447,1,1,Nov
KBVU,FOX,2017-11-30,Thu,NA,0.16013632916666665,0.23286322666666665,1,1,Nov
KBZK,CBS,2017-11-30,Thu,0.1370435984798646,0.23610673345454547,0.11557485727272727,0,1,Nov
KCVU,FOX,2017-11-30,Thu,0.08169432297505985,0.30714070818181816,0.07645675636363636,1,1,Nov
KECI,NBC,2017-11-30,Thu,0.05718997501104427,0.2516425911594203,0.12752319173913043,1,1,Nov
KHSL,CBS,2017-11-30,Thu,0.031979360507301366,0.23847936033333333,0.2664822173333333,0,1,Nov
KNVN,NBC,2017-11-30,Thu,0.07076702582222814,0.23353211666666665,0.24949775333333332,0,1,Nov
KPAX,CBS,2017-11-30,Thu,0.11151871391078641,0.1897232986363636,0.21988813454545456,0,1,Nov
KRBC,NBC,2017-11-30,Thu,0.0364822356616751,0.11244375116666666,0.137189192,0,1,Nov
KRCR,ABC,2017-11-30,Thu,0.11953378042297168,0.23395586774193547,0.16468025903225805,1,1,Nov
KTAB,CBS,2017-11-30,Thu,-0.023637911531511773,0.06416855,0.1230820175,0,1,Nov
KTMF,ABC,2017-11-30,Thu,0.10240427277681811,0.14917463904761905,0.1290954080952381,0,1,Nov
KTVM,NBC,2017-11-30,Thu,0.07503116459539942,0.25610123420289854,0.13378866492753622,1,1,Nov
KTXS,ABC,2017-11-30,Thu,0.13333296328621422,0.21600317289855073,0.04283316637681159,1,1,Nov
KWYB,ABC,2017-11-30,Thu,NA,0.15641083041666667,0.18165461458333332,0,1,Nov
KXVA,FOX,2017-11-30,Thu,NA,0.012811056428571426,0.0883523457142857,0,1,Nov
WCTI,ABC,2017-11-30,Thu,0.2267796696952957,0.14614540273684212,0.0971997887368421,1,1,Nov
WCYB,NBC,2017-11-30,Thu,0.1253776170124644,0.3199538111111111,0.11250192370370371,1,1,Nov
WEMT,FOX,2017-11-30,Thu,0.10248019327475212,0.21960840416666666,0.11394397749999999,1,1,Nov
WITN,NBC,2017-11-30,Thu,0.07889802658800159,0.12673892191176472,0.15692776117647061,0,1,Nov
WJHL,CBS,2017-11-30,Thu,0.04338398869569957,0.11014778951456312,0.2156403341747573,0,1,Nov
WNCT,CBS,2017-11-30,Thu,0.043345176739123095,0.1491539597777778,0.11776472988888889,0,1,Nov
WYDO,FOX,2017-11-30,Thu,0.21750851436745744,0.18091461913043477,0.09829933456521739,1,1,Nov
KAEF,ABC,2017-12-01,Fri,0.2262822252763187,0.2634356088732394,0.15618965492957745,1,1,Dec
KBVU,FOX,2017-12-01,Fri,NA,0.11820874272727272,0.30710645727272723,1,1,Dec
KBZK,CBS,2017-12-01,Fri,0.17217526342290693,0.22911922633333334,0.14582990366666668,0,1,Dec
KCVU,FOX,2017-12-01,Fri,-0.04526034919805141,0.15165833818181818,0.14797417363636364,1,1,Dec
KECI,NBC,2017-12-01,Fri,-0.035694489386678754,0.20763035792682927,0.14720525231707315,1,1,Dec
KHSL,CBS,2017-12-01,Fri,0.1012234843956709,0.19690619816901409,0.26993102070422537,0,1,Dec
KNVN,NBC,2017-12-01,Fri,0.12260328722486694,0.19077766115789474,0.25639686736842104,0,1,Dec
KPAX,CBS,2017-12-01,Fri,0.14618210433874654,0.15645407507936507,0.2257856515873016,0,1,Dec
KRBC,NBC,2017-12-01,Fri,0.014879070782073867,0.11769282229508198,0.16494798688524592,0,1,Dec
KRCR,ABC,2017-12-01,Fri,0.17880247692086793,0.2710608474725275,0.1405281774725275,1,1,Dec
KTAB,CBS,2017-12-01,Fri,NA,0.02368576358974359,0.14358040871794872,0,1,Dec
KTMF,ABC,2017-12-01,Fri,-0.3026346110274922,0.17878449611111114,0.15021032055555555,0,1,Dec
KTVM,NBC,2017-12-01,Fri,-0.03998094698355451,0.19367192517647058,0.16691895752941177,1,1,Dec
KTXS,ABC,2017-12-01,Fri,0.0725160798475673,0.2068509362121212,0.06402086151515152,1,1,Dec
KWYB,ABC,2017-12-01,Fri,-0.3026346110274922,0.16018045000000003,0.16092983249999998,0,1,Dec
KXVA,FOX,2017-12-01,Fri,NA,0.009598863333333332,0.006399242222222222,0,1,Dec
WCTI,ABC,2017-12-01,Fri,0.128937969859167,0.13838847645161292,0.12379725193548387,1,1,Dec
WCYB,NBC,2017-12-01,Fri,0.05173703897747793,0.24341656680851065,0.1663356715957447,1,1,Dec
WEMT,FOX,2017-12-01,Fri,-0.14340106352255866,0.23727190913043478,0.09903961521739131,1,1,Dec
WITN,NBC,2017-12-01,Fri,0.10126097181079596,0.1580253968292683,0.11468612719512195,0,1,Dec
WJHL,CBS,2017-12-01,Fri,0.10166812934127359,0.12711501134615386,0.22772455923076923,0,1,Dec
WNCT,CBS,2017-12-01,Fri,0.026962870841508235,0.1516091358064516,0.10049970849462365,0,1,Dec
WYDO,FOX,2017-12-01,Fri,0.30297785475924516,0.13639485562499998,0.14512165104166666,1,1,Dec
KAEF,ABC,2017-12-04,Mon,0.09005523380292964,0.2305314738571429,0.15031502114285714,1,1,Dec
KBVU,FOX,2017-12-04,Mon,-0.18652827077845097,0.18680475,0.2013777791666667,1,1,Dec
KBZK,CBS,2017-12-04,Mon,0.17229783566611315,0.2546259052631579,0.13304366947368423,0,1,Dec
KCVU,FOX,2017-12-04,Mon,NA,0.10741789800000001,0.168344744,1,1,Dec
KECI,NBC,2017-12-04,Mon,0.009495226087338502,0.1817067526506024,0.1291546408433735,1,1,Dec
KHSL,CBS,2017-12-04,Mon,0.08362658281182397,0.133087533943662,0.25504640690140845,0,1,Dec
KNVN,NBC,2017-12-04,Mon,0.06315331246657474,0.15815792663157896,0.24689041484210525,0,1,Dec
KPAX,CBS,2017-12-04,Mon,0.034407372732493516,0.25110903878787877,0.16014742727272727,0,1,Dec
KRBC,NBC,2017-12-04,Mon,0.053656911077554485,0.07301207016949152,0.14398918745762712,0,1,Dec
KRCR,ABC,2017-12-04,Mon,0.14996785579184874,0.21603291824175824,0.14509945549450548,1,1,Dec
KTAB,CBS,2017-12-04,Mon,0.20240327095340677,0.07062092385365853,0.11734974475609755,0,1,Dec
KTMF,ABC,2017-12-04,Mon,0.26838996987581715,0.22861566652173915,0.14151706782608697,0,1,Dec
KTVM,NBC,2017-12-04,Mon,-0.027744086291587495,0.18240549573170733,0.11652443999999999,1,1,Dec
KTXS,ABC,2017-12-04,Mon,0.19384466679540419,0.10980979449275363,0.07805801550724639,1,1,Dec
KWYB,ABC,2017-12-04,Mon,0.2729034020033171,0.2310341408695652,0.14219588826086957,0,1,Dec
KXVA,FOX,2017-12-04,Mon,NA,0.005056495882352942,0.00253366,0,1,Dec
WCTI,ABC,2017-12-04,Mon,0.025428636619822375,0.18764385,0.14015507548387096,1,1,Dec
WCYB,NBC,2017-12-04,Mon,0.009453860857537728,0.18683435604395604,0.15514450032967034,1,1,Dec
WEMT,FOX,2017-12-04,Mon,0.35793762034575255,0.16155684130434783,0.08812925434782609,1,1,Dec
WITN,NBC,2017-12-04,Mon,0.024926201648269298,0.1537660712345679,0.1451833450617284,0,1,Dec
WJHL,CBS,2017-12-04,Mon,0.06595218852380216,0.13105840150943399,0.15247070518867925,0,1,Dec
WNCT,CBS,2017-12-04,Mon,0.05458252163099934,0.17777276786516852,0.12061418685393259,0,1,Dec
WYDO,FOX,2017-12-04,Mon,0.031180420666324506,0.14850891152173912,0.15088307260869566,1,1,Dec
KAEF,ABC,2017-12-05,Tue,0.15065553663152764,0.13762094835820896,0.19079809582089552,1,1,Dec
KBVU,FOX,2017-12-05,Tue,NA,0.04977525916666666,0.23849601250000002,1,1,Dec
KBZK,CBS,2017-12-05,Tue,0.13962790096392794,0.22990421527272728,0.082020224,0,1,Dec
KCVU,FOX,2017-12-05,Tue,NA,0.1156533909090909,0.1999297509090909,1,1,Dec
KECI,NBC,2017-12-05,Tue,0.037457570853416625,0.19979598556962025,0.10489817101265823,1,1,Dec
KHSL,CBS,2017-12-05,Tue,0.07966271443525483,0.18262212842857142,0.28821002442857147,0,1,Dec
KNVN,NBC,2017-12-05,Tue,0.0981622462768521,0.17308084127659573,0.28734061170212766,0,1,Dec
KPAX,CBS,2017-12-05,Tue,0.05383927228566407,0.18542974235294118,0.18949758382352944,0,1,Dec
KRBC,NBC,2017-12-05,Tue,0.2307933413107756,0.059885724098360654,0.14008416967213116,0,1,Dec
KRCR,ABC,2017-12-05,Tue,0.06943741291295846,0.1560871066304348,0.176459325,1,1,Dec
KTAB,CBS,2017-12-05,Tue,0.127674484875203,0.03290003271604938,0.14413813407407405,0,1,Dec
KTMF,ABC,2017-12-05,Tue,0.0947018723105781,0.23395283190476193,0.16803098523809526,0,1,Dec
KTVM,NBC,2017-12-05,Tue,0.010165546524397622,0.19055865607594935,0.11015378810126582,1,1,Dec
KTXS,ABC,2017-12-05,Tue,0.09752476732561831,0.1329461671830986,0.06976629295774649,1,1,Dec
KWYB,ABC,2017-12-05,Tue,0.09460888798124624,0.2392930180952381,0.16282551095238096,0,1,Dec
KWYB,ABC,2017-12-05,Tue,NA,0.04304556833333333,0.013034552500000001,0,1,Dec
